id,combo,category,name,fileName,planType,includeType,inferredPlan,inferredIncludeType,issues,combinations
"69495b88b21c440653eeca54","box-to-google-mydrive","content","Box to Google MyDrive Standard Plan - Standard Include","Box to Google MyDrive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""box-to-google-mydrive"",""all""]"
"69495b88b21c440653eeca55","box-to-google-mydrive","content","Box to Google MyDrive Standard Plan - Standard Not Include","Box to Google MyDrive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""box-to-google-mydrive"",""all""]"
"69495db5bed1e3bc412b0581","dropbox-to-onedrive","content","Dropbox to OneDrive Standard Plan - Standard Include","Dropbox to OneDrive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""dropbox-to-onedrive"",""all""]"
"69495db5bed1e3bc412b0582","dropbox-to-onedrive","content","Dropbox to OneDrive Standard Plan - Standard Not Include","Dropbox to OneDrive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""dropbox-to-onedrive"",""all""]"
"69495db5bed1e3bc412b0583","dropbox-to-onedrive","content","Dropbox to OneDrive Advanced Plan - Advanced Include","Dropbox to OneDrive Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""dropbox-to-onedrive"",""all""]"
"69495db5bed1e3bc412b0584","dropbox-to-onedrive","content","Dropbox to OneDrive Advanced Plan - Advanced Not Include","Dropbox to OneDrive Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""dropbox-to-onedrive"",""all""]"
"694f937c4018436bbc0e4e92","box-to-google-mydrive","content","Box to Google MyDrive Advanced Plan - Advanced Include","Box to Google MyDrive Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""box-to-google-mydrive"",""all""]"
"6953a56ab3e393af920b69da","slack-to-slack","messaging","Slack to Slack - Included Features","Slack to Slack - Included.docx.docx","","","","included","missing_includeType","[""slack-to-slack"",""all""]"
"6953a56ab3e393af920b69db","slack-to-slack","messaging","Slack to Slack - Not Included Features","Slack to Slack - Not Included.docx.docx","","","","notincluded","missing_includeType","[""slack-to-slack"",""all""]"
"6953bb33f8cdb6db861f7da4","dropbox-to-sharepoint","content","Dropbox to SharePoint Online Standard Plan - Standard Include","Dropbox to SharePoint Online Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""dropbox-to-sharepoint"",""all""]"
"6953bb33f8cdb6db861f7da5","dropbox-to-sharepoint","content","Dropbox to SharePoint Online Standard Plan - Standard Not Include","Dropbox to SharePoint Online Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""dropbox-to-sharepoint"",""all""]"
"6953c1ef0ca9a4d254e08ac3","dropbox-to-sharepoint","content","Dropbox to SharePoint Online Advanced Plan - Advanced Include","Dropbox to SharePoint Online Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""dropbox-to-sharepoint"",""all""]"
"6953c1ef0ca9a4d254e08ac4","dropbox-to-sharepoint","content","Dropbox to SharePoint Online Advanced Plan - Advanced Not Include","Dropbox to SharePoint Online Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""dropbox-to-sharepoint"",""all""]"
"6953e3e9df6cabde114db8b3","box-to-google-sharedrive","content","Box to Google Shared Drive Standard Plan - Standard Include","Box to Google Shared Drive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""box-to-google-sharedrive"",""all""]"
"6953e3eadf6cabde114db8b4","box-to-google-sharedrive","content","Box to Google Shared Drive Standard Plan - Standard Not Include","Box to Google Shared Drive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""box-to-google-sharedrive"",""all""]"
"6953e3eadf6cabde114db8b5","box-to-onedrive","content","Box to OneDrive Advanced Plan - Advanced Include","Box to OneDrive Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""box-to-onedrive"",""all""]"
"6953e3eadf6cabde114db8b6","box-to-onedrive","content","Box to OneDrive Standard Plan - Standard Include","Box to OneDrive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""box-to-onedrive"",""all""]"
"6953e3eadf6cabde114db8b7","box-to-onedrive","content","Box to OneDrive Standard Plan - Standard Not Include","Box to OneDrive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""box-to-onedrive"",""all""]"
"6953e75af4446a001225e591","box-to-sharepoint","content","Box to SharePoint Online Advanced Plan - Advanced Include","Box to SharePoint Online Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""box-to-sharepoint"",""all""]"
"6953e75af4446a001225e592","box-to-sharepoint","content","Box to SharePoint Online Standard Plan - Standard Include","Box to SharePoint Online Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""box-to-sharepoint"",""all""]"
"6953e75af4446a001225e593","box-to-sharepoint","content","Box to SharePoint Online Standard Plan - Standard Not Include","Box to SharePoint Online Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""box-to-sharepoint"",""all""]"
"6953e96445fdb12e1e8f0c3e","egnyte-to-onedrive","content","Egnyte to OneDrive Standard Plan - Standard Include","Egnyte to OneDrive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""egnyte-to-onedrive"",""all""]"
